"kingdom"	"class"	"order"	"family"	"genus"	"species"	"Attribute"
"Bacteria"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"Lactobacillus iners"	"hv-associated"
"Bacteria"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"Lactobacillus crispatus"	"hv-associated"
"Bacteria"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"Lactobacillus gasseri"	"hv-associated"
"Bacteria"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"Lactobacillus jensenii"	"hv-associated"
"Bacteria"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	NA	"bv-associated"
"Bacteria"	"Negativicutes"	"Veillonellales"	"Veillonellaceae"	"Megasphaera"	NA	NA
"Bacteria"	"Fusobacteriia"	"Fusobacteriales"	"Leptotrichiaceae"	"Sneathia"	NA	"bv-associated"
"Bacteria"	"Coriobacteriia"	"Coriobacteriales"	"Atopobiaceae"	"Atopobium"	NA	"bv-associated"
"Bacteria"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	NA	"bv-associated"
"Bacteria"	"Negativicutes"	"Veillonellales"	"Veillonellaceae"	"Dialister"	NA	NA
"Bacteria"	"Clostridia"	"Eubacteriales"	"Lachnospiraceae"	NA	NA	NA
"Bacteria"	"Tissierellia"	"Tissierellales"	"Peptoniphilaceae"	"Anaerococcus"	NA	NA
"Bacteria"	"Tissierellia"	"Tissierellales"	"Peptoniphilaceae"	"Peptoniphilus"	NA	"bv-associated"
"Bacteria"	"Coriobacteriia"	"Eggerthellales"	"Eggerthellaceae"	"Eggerthella"	NA	NA
"Bacteria"	"Tissierellia"	"Tissierellales"	"Peptoniphilaceae"	"Finegoldia"	NA	NA
"Bacteria"	NA	NA	NA	NA	NA	NA
"Bacteria"	"Clostridia"	"Eubacteriales"	"Oscillospiraceae"	NA	NA	NA
"Bacteria"	"Mollicutes"	"Mycoplasmatales"	"Mycoplasmataceae"	"Ureaplasma"	NA	NA
"Bacteria"	"Mollicutes"	"Mycoplasmatales"	"Mycoplasmataceae"	NA	NA	NA
"Bacteria"	"Bacilli"	"Lactobacillales"	"Aerococcaceae"	"Aerococcus"	NA	"bv-associated"
"Bacteria"	"Tissierellia"	"Tissierellales"	"Peptoniphilaceae"	"Parvimonas"	NA	NA
"Bacteria"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"	NA	"bv-associated"
"Bacteria"	"Actinomycetia"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	NA	"bv-associated"
"Bacteria"	"Negativicutes"	"Veillonellales"	"Veillonellaceae"	"Veillonella"	NA	"bv-associated"
"Bacteria"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Limosilactobacillus"	"Limosilactobacillus vaginalis"	NA
"Bacteria"	"Actinomycetia"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Gardnerella"	NA	"bv-associated"
"Bacteria"	"Bacteroidia"	"Bacteroidales"	"Bacteroidaceae"	"Bacteroides"	NA	NA
"Bacteria"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	NA	NA	NA
"Bacteria"	"Clostridia"	"Eubacteriales"	"Peptostreptococcaceae"	"Peptostreptococcus"	NA	"bv-associated"
"Bacteria"	"Actinomycetia"	"Actinomycetales"	"Actinomycetaceae"	"Mobiluncus"	NA	"bv-associated"
"Bacteria"	"Gammaproteobacteria"	"Pasteurellales"	"Pasteurellaceae"	"Pasteurella"	NA	NA
"Bacteria"	"Bacteroidia"	"Bacteroidales"	"Porphyromonadaceae"	"Porphyromonas"	NA	NA
"Bacteria"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	NA	"hv-associated"
"Bacteria"	"Clostridia"	"Eubacteriales"	NA	NA	NA	NA
"Bacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Klebsiella"	NA	NA
"Bacteria"	"Bacilli"	"Lactobacillales"	NA	NA	NA	NA
"Bacteria"	"Bacilli"	"Bacillales"	NA	"Gemella"	NA	"bv-associated"
"Bacteria"	"Clostridia"	"Eubacteriales"	"Oscillospiraceae"	NA	NA	NA
"Bacteria"	"Bacilli"	"Lactobacillales"	NA	NA	NA	NA
"Bacteria"	"Clostridia"	"Eubacteriales"	"Oscillospiraceae"	NA	NA	NA
"Bacteria"	"Bacilli"	"Lactobacillales"	NA	NA	NA	NA
"Bacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Campylobacteraceae"	"Campylobacter"	NA	NA
"Bacteria"	"Fusobacteriia"	"Fusobacteriales"	"Fusobacteriaceae"	"Fusobacterium"	NA	"bv-associated"
"Bacteria"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	NA	"hv-associated"
"Bacteria"	"Clostridia"	"Eubacteriales"	"Lachnospiraceae"	NA	NA	NA
"Bacteria"	"Clostridia"	"Eubacteriales"	"Lachnospiraceae"	NA	NA	NA
"Bacteria"	"Actinomycetia"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	NA	"bv-associated"
"Bacteria"	"Clostridia"	"Eubacteriales"	"Lachnospiraceae"	"Moryella"	NA	NA
"Bacteria"	NA	NA	NA	NA	NA	NA
"Bacteria"	"Negativicutes"	"Veillonellales"	"Veillonellaceae"	"Anaeroglobus"	NA	NA
"Bacteria"	"Actinomycetia"	"Propionibacteriales"	"Propionibacteriaceae"	"Propionibacterium"	NA	"bv-associated"
"Bacteria"	"Actinomycetia"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	NA	"bv-associated"
"Bacteria"	"Clostridia"	"Eubacteriales"	"Lachnospiraceae"	NA	NA	NA
"Bacteria"	"Actinomycetia"	"Actinomycetales"	"Actinomycetaceae"	"Varibaculum"	NA	NA
"Bacteria"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	NA	NA	NA
"Bacteria"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	NA	"hv-associated"
"Bacteria"	"Bacilli"	"Bacillales"	NA	"Exiguobacterium"	NA	NA
"Bacteria"	NA	NA	NA	NA	NA	NA
"Bacteria"	"Bacteroidia"	"Bacteroidales"	NA	NA	NA	NA
"Bacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Enterobacter"	NA	NA
"Bacteria"	"Bacilli"	"Lactobacillales"	"Aerococcaceae"	"Facklamia"	NA	NA
"Bacteria"	"Actinomycetia"	"Corynebacteriales"	"Segniliparaceae"	"Segniliparus"	NA	NA
"Bacteria"	"Actinomycetia"	"Micrococcales"	"Micrococcaceae"	"Rothia"	NA	NA
"Bacteria"	NA	NA	NA	NA	NA	NA
"Bacteria"	"Clostridia"	"Eubacteriales"	"Peptococcaceae"	"Peptococcus"	NA	NA
"Bacteria"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus"	NA	"bv-associated"
"Bacteria"	"Actinomycetia"	"Actinomycetales"	"Actinomycetaceae"	"Arcanobacterium"	NA	NA
"Bacteria"	"Synergistia"	"Synergistales"	"Synergistaceae"	"Dethiosulfovibrio"	NA	NA
"Bacteria"	"Actinomycetia"	"Micrococcales"	"Brevibacteriaceae"	"Brevibacterium"	NA	"bv-associated"
"Bacteria"	"Bacilli"	"Lactobacillales"	NA	NA	NA	NA
"Bacteria"	"Bacilli"	"Lactobacillales"	NA	NA	NA	NA
"Bacteria"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	NA	NA	NA
"Bacteria"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	NA	"hv-associated"
"Bacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	NA	NA	NA
"Bacteria"	"Coriobacteriia"	"Coriobacteriales"	"Coriobacteriaceae"	NA	NA	NA
"Bacteria"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Bulleidia"	NA	NA
"Bacteria"	"Clostridia"	"Eubacteriales"	"Clostridiaceae"	"Clostridium"	NA	NA
"Bacteria"	"Clostridia"	"Eubacteriales"	"Lachnospiraceae"	NA	NA	NA
"Bacteria"	"Actinomycetia"	"Micrococcales"	"Micrococcaceae"	"Arthrobacter"	NA	NA
"Bacteria"	"Betaproteobacteria"	"Burkholderiales"	"Sutterellaceae"	"Sutterella"	NA	NA
"Bacteria"	"Betaproteobacteria"	"Neisseriales"	"Neisseriaceae"	"Neisseria"	NA	NA
"Bacteria"	"Coriobacteriia"	"Coriobacteriales"	"Coriobacteriaceae"	NA	NA	NA
"Bacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Citrobacter"	NA	NA
"Bacteria"	"Clostridia"	"Eubacteriales"	"Lachnospiraceae"	"Dorea"	NA	NA
"Bacteria"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Lactococcus"	NA	NA
"Bacteria"	"Clostridia"	"Eubacteriales"	"Lachnospiraceae"	NA	NA	NA
"Bacteria"	"Bacilli"	"Lactobacillales"	"Carnobacteriaceae"	"Granulicatella"	NA	NA
"Bacteria"	"Clostridia"	"Eubacteriales"	NA	NA	NA	NA
"Bacteria"	"Bacteroidia"	"Bacteroidales"	"Rikenellaceae"	"Alistipes"	NA	NA
"Bacteria"	NA	NA	NA	NA	NA	NA
"Bacteria"	NA	NA	NA	NA	NA	NA
"Bacteria"	"Actinomycetia"	"Actinomycetales"	"Actinomycetaceae"	"Actinobaculum"	NA	NA
"Bacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	NA	NA	NA
"Bacteria"	"Clostridia"	"Eubacteriales"	NA	NA	NA	NA
"Bacteria"	"Actinomycetia"	"Micrococcales"	"Cellulomonadaceae"	"Oerskovia"	NA	NA
"Bacteria"	NA	NA	NA	NA	NA	NA
"Bacteria"	"Clostridia"	"Eubacteriales"	"Lachnospiraceae"	NA	NA	NA
"Bacteria"	"Clostridia"	"Eubacteriales"	"Lachnospiraceae"	NA	NA	NA
"Bacteria"	"Clostridia"	"Eubacteriales"	"Oscillospiraceae"	"Ruminococcus"	NA	NA
"Bacteria"	"Actinomycetia"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Scardovia"	NA	NA
"Bacteria"	"Clostridia"	"Eubacteriales"	"Eubacteriales Family XIII. Incertae Sedis"	"Anaerovorax"	NA	NA
"Bacteria"	"Actinomycetia"	"Propionibacteriales"	"Propionibacteriaceae"	"Propionimicrobium"	NA	NA
"Bacteria"	"Clostridia"	"Eubacteriales"	"Oscillospiraceae"	"Fastidiosipila"	NA	NA
"Bacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Stenotrophomonas"	NA	NA
"Bacteria"	"Negativicutes"	"Selenomonadales"	"Selenomonadaceae"	"Megamonas"	NA	NA
"Bacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	NA	NA	NA
"Bacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	NA	NA
"Bacteria"	"Clostridia"	"Eubacteriales"	"Lachnospiraceae"	"Roseburia"	NA	NA
"Bacteria"	"Tissierellia"	"Tissierellales"	"Peptoniphilaceae"	"Gallicola"	NA	NA
"Bacteria"	"Gammaproteobacteria"	"Pasteurellales"	"Pasteurellaceae"	"Haemophilus"	NA	NA
"Bacteria"	NA	NA	NA	NA	NA	NA
"Bacteria"	"Bacteroidia"	"Bacteroidales"	"Tannerellaceae"	"Parabacteroides"	NA	NA
"Bacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Acidovorax"	NA	NA
"Bacteria"	"Actinomycetia"	"Micrococcales"	"Micrococcaceae"	"Kocuria"	NA	NA
"Bacteria"	"Tissierellia"	"Tissierellales"	"Peptoniphilaceae"	"Helcococcus"	NA	NA
"Bacteria"	"Gammaproteobacteria"	"Moraxellales"	"Moraxellaceae"	"Acinetobacter"	NA	NA
"Bacteria"	"Clostridia"	"Eubacteriales"	NA	NA	NA	NA
"Bacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Yersiniaceae"	"Serratia"	NA	NA
"Bacteria"	"Erysipelotrichia"	"Erysipelotrichales"	"Coprobacillaceae"	"Coprobacillus"	NA	NA
"Bacteria"	"Betaproteobacteria"	"Burkholderiales"	NA	NA	NA	NA
"Bacteria"	"Bacilli"	"Lactobacillales"	"Carnobacteriaceae"	"Atopobacter"	NA	NA
"Bacteria"	"Clostridia"	"Eubacteriales"	"Oscillospiraceae"	"Subdoligranulum"	NA	NA
"Bacteria"	"Coriobacteriia"	"Coriobacteriales"	"Coriobacteriaceae"	NA	NA	NA
"Bacteria"	"Clostridia"	"Eubacteriales"	NA	NA	NA	NA
"Bacteria"	"Bacteroidia"	"Bacteroidales"	NA	NA	NA	NA
"Bacteria"	NA	NA	NA	NA	NA	NA
"Bacteria"	"Clostridia"	"Eubacteriales"	NA	NA	NA	NA
"Bacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"	NA	NA
"Bacteria"	NA	NA	NA	NA	NA	NA
"Bacteria"	"Coriobacteriia"	"Coriobacteriales"	"Coriobacteriaceae"	"Collinsella"	NA	NA
"Bacteria"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	NA	NA	NA
"Bacteria"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	NA	"bv-associated"
"Bacteria"	"Clostridia"	"Eubacteriales"	"Lachnospiraceae"	"Coprococcus"	NA	NA
"Bacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Azospirillaceae"	"Skermanella"	NA	NA
"Bacteria"	"Clostridia"	"Eubacteriales"	"Oscillospiraceae"	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA
"Bacteria"	"Betaproteobacteria"	"Neisseriales"	"Neisseriaceae"	NA	NA	NA
"Bacteria"	NA	NA	NA	NA	NA	NA
"Bacteria"	"Clostridia"	"Eubacteriales"	"Lachnospiraceae"	NA	NA	NA
"Bacteria"	"Clostridia"	"Eubacteriales"	"Peptostreptococcaceae"	NA	NA	NA
"Bacteria"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Capnocytophaga"	NA	NA
"Bacteria"	"Betaproteobacteria"	NA	NA	NA	NA	NA
"Bacteria"	NA	NA	NA	NA	NA	NA
"Bacteria"	"Clostridia"	"Eubacteriales"	NA	NA	NA	NA
"Bacteria"	"Actinomycetia"	"Micrococcales"	"Dermabacteraceae"	"Dermabacter"	NA	NA
"Bacteria"	NA	NA	NA	NA	NA	NA
"Bacteria"	"Coriobacteriia"	"Eggerthellales"	"Eggerthellaceae"	"Slackia"	NA	NA
"Bacteria"	NA	NA	NA	NA	NA	NA
"Bacteria"	"Actinomycetia"	"Micrococcales"	"Micrococcaceae"	"Micrococcus"	NA	"bv-associated"
"Bacteria"	"Clostridia"	"Eubacteriales"	NA	NA	NA	NA
"Bacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	NA	NA	NA
"Bacteria"	NA	NA	NA	NA	NA	NA
"Bacteria"	"Clostridia"	"Eubacteriales"	NA	NA	NA	NA
"Bacteria"	NA	NA	NA	NA	NA	NA
"Bacteria"	"Clostridia"	"Eubacteriales"	"Oscillospiraceae"	NA	NA	NA
"Bacteria"	"Bacilli"	"Bacillales"	"Paenibacillaceae"	"Paenibacillus"	NA	NA
"Bacteria"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"	NA	NA
"Bacteria"	"Cytophagia"	"Cytophagales"	"Flexibacteraceae"	NA	NA	NA
"Bacteria"	NA	NA	NA	NA	NA	NA
"Bacteria"	"Betaproteobacteria"	"Burkholderiales"	"Oxalobacteraceae"	"Janthinobacterium"	NA	NA
"Bacteria"	"Negativicutes"	"Acidaminococcales"	"Acidaminococcaceae"	"Succinispira"	NA	NA
"Bacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Salmonella"	NA	NA
"Bacteria"	"Clostridia"	"Eubacteriales"	"Oscillospiraceae"	NA	NA	NA
"Bacteria"	NA	NA	NA	NA	NA	NA
"Bacteria"	NA	NA	NA	NA	NA	NA
"Bacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	NA	NA	NA
"Bacteria"	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA
"Bacteria"	NA	NA	NA	NA	NA	NA
"Bacteria"	NA	NA	NA	NA	NA	NA
"Bacteria"	NA	NA	NA	NA	NA	NA
"Bacteria"	NA	NA	NA	NA	NA	NA
"Bacteria"	"Clostridia"	"Eubacteriales"	"Lachnospiraceae"	NA	NA	NA
"Bacteria"	"Fusobacteriia"	"Fusobacteriales"	"Fusobacteriaceae"	NA	NA	NA
"Bacteria"	"Betaproteobacteria"	"Burkholderiales"	"Oxalobacteraceae"	"Duganella"	NA	NA
"Bacteria"	NA	NA	NA	NA	NA	NA
"Bacteria"	"Actinomycetia"	"Propionibacteriales"	"Propionibacteriaceae"	"Luteococcus"	NA	NA
"Bacteria"	NA	NA	NA	NA	NA	NA
"Bacteria"	"Erysipelotrichia"	"Erysipelotrichales"	"Coprobacillaceae"	"Catenibacterium"	NA	NA
NA	NA	NA	NA	NA	NA	NA
"Bacteria"	"Gammaproteobacteria"	"Methylococcales"	"Crenotrichaceae"	NA	NA	NA
"Bacteria"	"Actinomycetia"	"Micrococcales"	"Dermabacteraceae"	NA	NA	NA
"Bacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Erwiniaceae"	"Pantoea"	NA	NA
"Bacteria"	NA	NA	NA	NA	NA	NA
"Bacteria"	"Negativicutes"	"Acidaminococcales"	"Acidaminococcaceae"	"Acidaminococcus"	NA	NA
"Bacteria"	"Negativicutes"	"Veillonellales"	"Veillonellaceae"	NA	NA	NA
"Bacteria"	"Cytophagia"	"Cytophagales"	"Flexibacteraceae"	NA	NA	NA
"Bacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	NA	"Enhydrobacter"	NA	NA
"Bacteria"	NA	NA	NA	NA	NA	NA
"Bacteria"	"Clostridia"	NA	NA	NA	NA	NA
"Bacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Methylobacteriaceae"	"Methylobacterium"	NA	NA
"Bacteria"	"Bacilli"	NA	NA	NA	NA	NA
"Bacteria"	NA	NA	NA	NA	NA	NA
"Bacteria"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	NA	NA	NA
"Bacteria"	NA	NA	NA	NA	NA	NA
"Bacteria"	"Flavobacteriia"	"Flavobacteriales"	"Weeksellaceae"	"Chryseobacterium"	NA	NA
"Bacteria"	"Betaproteobacteria"	"Burkholderiales"	NA	"Aquabacterium"	NA	NA
"Bacteria"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Jeotgalicoccus"	NA	NA
"Bacteria"	"Betaproteobacteria"	"Neisseriales"	"Neisseriaceae"	"Conchiformibius"	NA	NA
"Bacteria"	NA	NA	NA	NA	NA	NA
"Bacteria"	NA	NA	NA	NA	NA	NA
"Bacteria"	NA	NA	NA	NA	NA	NA
"Bacteria"	"Actinomycetia"	"Corynebacteriales"	"Nocardiaceae"	"Rhodococcus"	NA	NA
"Bacteria"	"Cytophagia"	"Cytophagales"	"Flexibacteraceae"	NA	NA	NA
"Bacteria"	"Clostridia"	"Eubacteriales"	"Oscillospiraceae"	NA	NA	NA
"Bacteria"	"Gammaproteobacteria"	"Pasteurellales"	"Pasteurellaceae"	"Actinobacillus"	NA	NA
"Bacteria"	"Actinomycetia"	"Micrococcales"	"Microbacteriaceae"	"Pseudoclavibacter"	NA	NA
"Bacteria"	NA	NA	NA	NA	NA	NA
"Bacteria"	NA	NA	NA	NA	NA	NA
"Bacteria"	"Clostridia"	"Eubacteriales"	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA
"Bacteria"	NA	NA	NA	NA	NA	NA
"Bacteria"	"Deltaproteobacteria"	"Desulfovibrionales"	"Desulfovibrionaceae"	"Bilophila"	NA	NA
"Bacteria"	"Clostridia"	"Eubacteriales"	NA	NA	NA	NA
"Bacteria"	"Clostridia"	"Eubacteriales"	NA	NA	NA	NA
"Bacteria"	"Fusobacteriia"	"Fusobacteriales"	"Leptotrichiaceae"	"Leptotrichia"	NA	NA
"Bacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Bradyrhizobiaceae"	"Bradyrhizobium"	NA	NA
"Bacteria"	"Cytophagia"	"Cytophagales"	"Flexibacteraceae"	NA	NA	NA
"Bacteria"	"Alphaproteobacteria"	"Hyphomicrobiales"	"Rhizobiaceae"	"Rhizobium"	NA	NA
"Bacteria"	NA	NA	NA	NA	NA	NA
"Bacteria"	"Clostridia"	"Eubacteriales"	"Oscillospiraceae"	NA	NA	NA
"Bacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Rhodoferax"	NA	NA
"Bacteria"	"Betaproteobacteria"	"Nitrosomonadales"	"Methylophilaceae"	"Methylovorus"	NA	NA
"Bacteria"	"Actinomycetia"	"Micrococcales"	"Intrasporangiaceae"	"Janibacter"	NA	NA
"Bacteria"	"Actinomycetia"	"Corynebacteriales"	NA	NA	NA	NA
"Bacteria"	"Flavobacteriia"	"Flavobacteriales"	"Weeksellaceae"	"Riemerella"	NA	NA
"Bacteria"	"Actinomycetia"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	NA	"bv-associated"
"Bacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA
"Bacteria"	"Clostridia"	"Eubacteriales"	NA	NA	NA	NA
"Bacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Novosphingobium"	NA	NA
"Bacteria"	"Cytophagia"	"Cytophagales"	"Flexibacteraceae"	NA	NA	NA
"Bacteria"	"Actinomycetia"	"Micrococcales"	"Microbacteriaceae"	NA	NA	NA
"Bacteria"	"Bacilli"	"Bacillales"	NA	NA	NA	NA
"Bacteria"	"Negativicutes"	"Selenomonadales"	"Selenomonadaceae"	"Selenomonas"	NA	NA
"Bacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Roseomonas"	NA	NA
"Bacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Polaromonas"	NA	NA
"Bacteria"	"Thermoleophilia"	"Solirubrobacterales"	"Patulibacteraceae"	"Patulibacter"	NA	NA
"Bacteria"	"Actinomycetia"	"Corynebacteriales"	"Gordoniaceae"	"Gordonia"	NA	NA
"Bacteria"	"Cytophagia"	"Cytophagales"	"Spirosomaceae"	"Flectobacillus"	NA	NA
"Bacteria"	"Actinomycetia"	"Micrococcales"	"Dermacoccaceae"	"Dermacoccus"	NA	NA
"Bacteria"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	NA	"bv-associated"
"Bacteria"	"Clostridia"	"Eubacteriales"	NA	NA	NA	NA
"Bacteria"	NA	NA	NA	NA	NA	NA
"Bacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Simplicispira"	NA	NA
"Bacteria"	"Bacilli"	NA	NA	NA	NA	NA
"Bacteria"	"Actinomycetia"	"Micrococcales"	"Microbacteriaceae"	"Microbacterium"	NA	NA
